Product_ID,Product_Name,Category,Supplier,Warehouse,Stock_Level,Reorder_Point,Unit_Cost,Unit_Price,Turnover_Rate,Last_Restocked_Date,Expiry_Date
SKU-00029,Heavy-Duty Stapler,Office Supplies,Supplier_Delta,Warehouse_South,16,39,26.9,53.95,1.03,05/21/2026,
SKU-00030,Compact Charger,Electronics,Supplier_Gamma,Warehouse_South,34,39,34.25,76.23,3.7,02/15/2026,
SKU-00031,Basic Whiteboard,Office Supplies,Supplier_Orion,Warehouse_Overflow,90,34,28.78,68.45,2.17,02/17/2026,
SKU-00032,Basic Snack Bar,Grocery,Supplier_Omega,Warehouse_Central,107,52,41.99,78.03,8.17,07/06/2026,12/29/2027
SKU-00033,Standard Webcam,Electronics,Supplier_Beta,Warehouse_South,86,33,25.96,56.49,12.37,03/28/2026,
SKU-00034,Compact Face Cream,Health & Beauty,Supplier_Alpha,Warehouse_North,52,44,23.86,58.71,6.13,01/16/2026,07/24/2026
SKU-00035,Ultra Floor Mat,Automotive,Supplier_Pioneer,Warehouse_North,161,19,33.68,76.66,0.17,03/13/2026,
SKU-00036,Pro Dumbbell Set,Sports & Outdoors,Supplier_Summit,Warehouse_South,0,57,27.32,63.13,1.69,05/04/2026,
SKU-00037,Portable Sneakers,Apparel,Supplier_Nova,Warehouse_West,14,39,17.66,30.54,2.34,06/02/2026,
SKU-00038,Eco Headphones,Electronics,Supplier_Gamma,Warehouse_East,70,35,24.72,32.61,1.95,01/25/2026,
SKU-00039,Premium Plush Bear,Toys,Supplier_Atlas,Warehouse_West,98,44,8.04,19.74,2.33,07/06/2026,
SKU-00040,Advanced Bookshelf,Furniture,Supplier_Summit,Warehouse_West,0,33,14.9,31.36,2.67,04/02/2026,
SKU-00041,Advanced Router,Electronics,Supplier_Delta,Warehouse_North,113,29,11.67,16.6,4.72,04/02/2026,
SKU-00042,Compact Sofa,Furniture,Supplier_Delta,Warehouse_North,53,48,25.44,62.73,4.81,03/04/2026,
SKU-00043,Premium Webcam,Electronics,Supplier_Zeta,Warehouse_South,45,58,61.87,131.82,2.99,03/23/2026,
SKU-00044,Standard Lotion,Health & Beauty,Supplier_Alpha,Warehouse_North,94,49,10.01,13.19,2.3,06/02/2026,05/04/2028
SKU-00045,Compact Rice Bag,Grocery,Supplier_Alpha,Warehouse_North,37,44,27.78,39.5,3.26,01/29/2026,04/14/2027
SKU-00046,Ultra Board Game,Toys,Supplier_Beta,Warehouse_West,6,48,32.48,75.52,2.79,05/25/2026,
SKU-00047,Portable Socks Pack,Apparel,Supplier_Delta,Warehouse_Central,1,19,69.22,168.9,2.39,01/14/2026,
SKU-00048,Basic Pen Pack,Office Supplies,Supplier_Theta,Warehouse_West,48,36,10.1,16.91,5.81,05/06/2026,
SKU-00049,Basic Notebook,Office Supplies,Supplier_Zeta,Warehouse_Central,110,24,8.71,15.13,0.66,05/10/2026,
SKU-00050,Heavy-Duty Snack Bar,Grocery,Supplier_Summit,Warehouse_West,31,24,15.57,26.69,1.34,02/12/2026,08/23/2026
SKU-00051,Wireless Car Charger,Automotive,Supplier_Vertex,Warehouse_West,38,46,17.5,40.0,3.35,05/19/2026,
SKU-00052,Premium Toaster,Home & Kitchen,Supplier_Omega,Warehouse_South,49,44,59.33,106.16,1.8,04/18/2026,
SKU-00053,Pro Soap Bar,Health & Beauty,Supplier_Theta,Warehouse_Overflow,37,12,47.22,79.7,2.72,03/06/2026,06/20/2027
SKU-00054,Deluxe Sunscreen,Health & Beauty,Supplier_Orion,Warehouse_North,22,38,20.47,41.11,1.5,03/28/2026,06/08/2028
SKU-00055,Basic Sticky Notes,Office Supplies,Supplier_Epsilon,Warehouse_North,7,13,28.52,52.41,2.85,05/24/2026,
SKU-00056,Heavy-Duty Lotion,Health & Beauty,Supplier_Zeta,Warehouse_South,163,56,21.66,41.01,1.15,07/04/2026,01/03/2028
SKU-00057,Eco Monitor,Electronics,Supplier_Nova,Warehouse_Overflow,68,25,60.53,104.66,3.59,03/04/2026,
SKU-00058,Deluxe Cereal Box,Grocery,Supplier_Omega,Warehouse_Overflow,101,14,10.03,18.04,2.27,02/12/2026,05/23/2026
SKU-00059,Smart Router,Electronics,Supplier_Alpha,Warehouse_Central,35,30,24.46,30.5,3.16,02/08/2026,
SKU-00060,Portable Cap,Apparel,Supplier_Vertex,Warehouse_West,33,49,8.63,20.74,0.06,01/24/2026,
SKU-00061,Standard Scarf,Apparel,Supplier_Omega,Warehouse_East,45,51,33.63,41.69,2.73,06/23/2026,
SKU-00062,Basic Pasta Pack,Grocery,Supplier_Zeta,Warehouse_Overflow,0,30,14.91,32.87,5.41,06/25/2026,04/27/2027
SKU-00063,Portable Backpack,Sports & Outdoors,Supplier_Orion,Warehouse_West,441,11,19.69,31.26,3.8,07/05/2026,
SKU-00064,Premium Scarf,Apparel,Supplier_Delta,Warehouse_Overflow,64,23,15.46,20.81,4.26,05/01/2026,
SKU-00065,Premium Cereal Box,Grocery,Supplier_Orion,Warehouse_South,7,14,16.12,32.12,3.87,06/04/2026,04/12/2027
SKU-00066,Advanced Envelope Box,Office Supplies,Supplier_Epsilon,Warehouse_South,4,16,13.25,28.08,1.44,02/06/2026,
SKU-00067,Classic Olive Oil,Grocery,Supplier_Atlas,Warehouse_Central,85,20,55.7,112.47,6.13,05/25/2026,01/13/2027
SKU-00068,Classic Yoga Mat,Sports & Outdoors,Supplier_Alpha,Warehouse_North,38,44,25.64,49.97,3.51,05/10/2026,
SKU-00069,Advanced Charger,Electronics,Supplier_Theta,Warehouse_Overflow,60,39,21.87,41.49,1.15,06/07/2026,
SKU-00070,Wireless Floor Mat,Automotive,Supplier_Atlas,Warehouse_East,194,53,13.85,26.36,5.3,04/01/2026,
SKU-00071,Eco Blender,Home & Kitchen,Supplier_Summit,Warehouse_Overflow,22,55,27.33,63.54,8.9,04/16/2026,
SKU-00072,Pro Pasta Pack,Grocery,Supplier_Summit,Warehouse_South,91,10,13.72,18.07,0.96,06/08/2026,03/03/2028
SKU-00073,Classic Monitor,Electronics,Supplier_Atlas,Warehouse_West,17,25,4.9,6.88,3.49,02/14/2026,
SKU-00074,Advanced Backpack,Sports & Outdoors,Supplier_Sigma,Warehouse_East,349,56,44.88,101.27,5.53,01/11/2026,
SKU-00075,Advanced Storage Container,Home & Kitchen,Supplier_Vertex,Warehouse_West,48,10,20.16,32.13,3.71,02/16/2026,
SKU-00076,Basic Mixing Bowl,Home & Kitchen,Supplier_Epsilon,Warehouse_East,173,31,3.55,7.82,2.73,02/19/2026,
SKU-00077,Portable Blender,Home & Kitchen,Supplier_Beta,Warehouse_Overflow,9,22,7.57,12.55,3.89,06/28/2026,
SKU-00078,Heavy-Duty Headphones,Electronics,Supplier_Sigma,Warehouse_West,91,36,7.31,17.57,1.52,03/25/2026,
SKU-00079,Classic Sneakers,Apparel,Supplier_Nova,Warehouse_South,71,24,33.18,51.95,3.42,04/28/2026,
SKU-00080,Basic Tablet,Electronics,Supplier_Theta,Warehouse_Central,72,26,52.42,92.0,12.01,05/03/2026,
SKU-00081,Deluxe Camping Chair,Sports & Outdoors,Supplier_Nova,Warehouse_South,0,18,12.23,17.2,3.99,03/15/2026,
SKU-00082,Compact Building Blocks,Toys,Supplier_Omega,Warehouse_South,3,14,25.44,52.58,1.23,06/14/2026,
SKU-00083,Eco Hoodie,Apparel,Supplier_Delta,Warehouse_North,5,32,29.08,50.13,2.01,06/01/2026,
SKU-00084,Pro Charger,Electronics,Supplier_Vertex,Warehouse_Central,110,53,16.99,41.18,6.76,03/26/2026,
SKU-00085,Deluxe Socks Pack,Apparel,Supplier_Omega,Warehouse_South,49,58,10.01,12.22,5.78,04/04/2026,
SKU-00086,Pro Cap,Apparel,Supplier_Delta,Warehouse_South,400,52,9.85,16.78,5.04,01/13/2026,
SKU-00087,Deluxe Kettle,Home & Kitchen,Supplier_Gamma,Warehouse_Overflow,35,20,18.75,23.08,2.93,06/17/2026,
SKU-00088,Wireless Doll,Toys,Supplier_Summit,Warehouse_Central,5,33,13.85,22.54,2.32,02/07/2026,
SKU-00089,Advanced Vitamin Pack,Health & Beauty,Supplier_Vertex,Warehouse_North,8,17,15.46,26.19,0.47,02/16/2026,02/12/2028
SKU-00090,Ultra Coffee Table,Furniture,Supplier_Gamma,Warehouse_West,0,56,4.54,6.97,0.59,02/25/2026,
SKU-00091,Compact Monitor,Electronics,Supplier_Nova,Warehouse_Central,79,43,7.98,12.23,5.1,05/20/2026,
SKU-00092,Advanced Storage Container,Home & Kitchen,Supplier_Beta,Warehouse_North,80,51,5.67,8.72,3.16,03/18/2026,
SKU-00093,Heavy-Duty Kettle,Home & Kitchen,Supplier_Nova,Warehouse_Central,268,40,17.6,27.21,1.73,05/28/2026,
SKU-00094,Premium Binder,Office Supplies,Supplier_Gamma,Warehouse_East,71,31,21.21,33.24,8.58,03/05/2026,
SKU-00095,Portable Cookware Set,Home & Kitchen,Supplier_Pioneer,Warehouse_West,0,23,28.03,64.66,4.8,04/03/2026,
SKU-00096,Advanced Sofa,Furniture,Supplier_Sigma,Warehouse_East,56,14,15.61,19.52,5.23,04/22/2026,
SKU-00097,Smart Notebook,Office Supplies,Supplier_Vertex,Warehouse_West,57,26,28.42,70.64,1.83,02/23/2026,
SKU-00098,Ultra Desk,Furniture,Supplier_Sigma,Warehouse_North,536,27,7.73,12.11,2.29,04/18/2026,
SKU-00099,Deluxe Monitor,Electronics,Supplier_Beta,Warehouse_West,10,28,3.81,4.71,2.88,02/22/2026,
SKU-00100,Eco Charger,Electronics,Supplier_Vertex,Warehouse_North,10,16,19.63,28.03,5.69,03/10/2026,
SKU-00101,Compact Headphones,Electronics,Supplier_Beta,Warehouse_East,40,35,55.42,134.36,1.55,06/12/2026,
SKU-00102,Advanced Board Game,Toys,Supplier_Beta,Warehouse_North,81,34,8.26,20.62,1.58,03/29/2026,
SKU-00103,Classic Jacket,Apparel,Supplier_Nova,Warehouse_Central,102,27,7.22,10.98,6.38,01/22/2026,
SKU-00104,Standard Stapler,Office Supplies,Supplier_Theta,Warehouse_South,40,53,16.2,24.19,0.95,02/03/2026,
SKU-00105,Smart Face Cream,Health & Beauty,Supplier_Summit,Warehouse_East,4,24,13.2,30.19,4.97,02/06/2026,06/09/2028
SKU-00106,Pro Olive Oil,Grocery,Supplier_Zeta,Warehouse_East,227,38,20.14,48.1,8.92,03/20/2026,09/24/2027
SKU-00107,Advanced T-Shirt,Apparel,Supplier_Orion,Warehouse_West,1,55,26.85,54.92,0.84,04/27/2026,
SKU-00108,Smart Kettle,Home & Kitchen,Supplier_Vertex,Warehouse_East,11,51,25.02,60.46,3.84,04/28/2026,
SKU-00109,Deluxe Olive Oil,Grocery,Supplier_Alpha,Warehouse_Central,22,58,35.3,85.96,2.3,03/23/2026,08/04/2026
SKU-00110,Classic Router,Electronics,Supplier_Beta,Warehouse_North,5,10,3.68,8.05,6.01,02/10/2026,
SKU-00111,Basic Cereal Box,Grocery,Supplier_Pioneer,Warehouse_North,61,13,7.56,12.5,4.71,02/14/2026,01/16/2027
SKU-00112,Compact Juice Bottle,Grocery,Supplier_Alpha,Warehouse_East,51,18,55.24,77.02,6.8,01/28/2026,04/27/2026
SKU-00113,Pro Shampoo,Health & Beauty,Supplier_Summit,Warehouse_Overflow,86,45,5.61,10.51,0.32,05/20/2026,04/05/2028
SKU-00114,Classic Backpack,Sports & Outdoors,Supplier_Orion,Warehouse_North,96,41,10.47,16.51,1.56,05/25/2026,
SKU-00115,Standard RC Car,Toys,Supplier_Vertex,Warehouse_North,32,33,48.66,65.89,10.04,06/07/2026,
SKU-00116,Portable Backpack,Sports & Outdoors,Supplier_Theta,Warehouse_North,0,46,37.6,64.38,2.43,05/08/2026,
SKU-00117,Basic Water Bottle,Sports & Outdoors,Supplier_Zeta,Warehouse_West,584,27,10.23,18.66,1.79,04/05/2026,
SKU-00118,Basic Snack Bar,Grocery,Supplier_Beta,Warehouse_South,90,24,35.51,73.17,12.52,05/02/2026,08/19/2027
SKU-00119,Smart Sunscreen,Health & Beauty,Supplier_Beta,Warehouse_Central,1,29,13.03,19.38,6.61,03/17/2026,06/21/2026
SKU-00120,Portable Stapler,Office Supplies,Supplier_Beta,Warehouse_North,50,49,15.09,35.15,0.37,02/20/2026,
SKU-00121,Basic Bicycle Helmet,Sports & Outdoors,Supplier_Sigma,Warehouse_North,118,11,26.09,37.6,2.28,04/20/2026,
SKU-00122,Deluxe Vitamin Pack,Health & Beauty,Supplier_Pioneer,Warehouse_South,3,34,11.21,27.98,4.94,02/16/2026,11/26/2027
SKU-00123,Classic T-Shirt,Apparel,Supplier_Theta,Warehouse_West,16,22,17.96,34.55,1.59,05/02/2026,
SKU-00124,Heavy-Duty Charger,Electronics,Supplier_Alpha,Warehouse_West,98,36,19.34,26.9,2.27,05/07/2026,
SKU-00125,Pro Coffee Beans,Grocery,Supplier_Delta,Warehouse_North,6,22,7.91,18.07,3.99,03/07/2026,08/05/2027
SKU-00126,Smart Coffee Table,Furniture,Supplier_Vertex,Warehouse_Overflow,1,37,22.24,34.02,6.26,04/23/2026,
SKU-00127,Deluxe Camping Chair,Sports & Outdoors,Supplier_Delta,Warehouse_South,17,55,11.04,15.95,3.49,04/14/2026,
SKU-00128,Pro Bicycle Helmet,Sports & Outdoors,Supplier_Theta,Warehouse_West,118,24,24.26,33.36,2.25,03/19/2026,
SKU-00129,Portable Monitor,Electronics,Supplier_Beta,Warehouse_East,48,38,24.83,47.58,6.94,03/27/2026,
SKU-00130,Wireless Notebook,Office Supplies,Supplier_Delta,Warehouse_South,60,30,19.08,44.71,2.79,04/15/2026,
SKU-00131,Wireless Socks Pack,Apparel,Supplier_Alpha,Warehouse_Central,76,53,17.34,41.03,5.05,02/20/2026,
SKU-00132,Portable Pasta Pack,Grocery,Supplier_Atlas,Warehouse_Central,84,40,6.99,15.53,0.23,05/04/2026,05/06/2028
SKU-00133,Advanced Keyboard,Electronics,Supplier_Summit,Warehouse_South,391,32,22.29,43.6,6.24,04/10/2026,
SKU-00134,Advanced Cap,Apparel,Supplier_Atlas,Warehouse_East,118,46,41.33,78.07,3.35,01/21/2026,
SKU-00135,Compact Face Cream,Health & Beauty,Supplier_Vertex,Warehouse_South,71,12,24.99,42.13,3.75,03/14/2026,11/12/2027
SKU-00136,Pro Socks Pack,Apparel,Supplier_Vertex,Warehouse_West,24,59,7.48,9.4,3.44,03/12/2026,
SKU-00137,Premium Whiteboard,Office Supplies,Supplier_Delta,Warehouse_South,102,44,21.48,49.14,2.67,05/19/2026,
SKU-00138,Advanced Kettle,Home & Kitchen,Supplier_Vertex,Warehouse_Central,10,23,11.5,28.74,3.65,03/04/2026,
SKU-00139,Portable Scarf,Apparel,Supplier_Summit,Warehouse_North,32,11,8.53,20.45,2.01,01/12/2026,
SKU-00140,Portable Floor Mat,Automotive,Supplier_Pioneer,Warehouse_North,47,59,13.37,32.26,5.56,02/12/2026,
SKU-00141,Basic Wiper Blades,Automotive,Supplier_Alpha,Warehouse_South,117,22,29.95,48.91,4.16,01/18/2026,
SKU-00142,Compact Pasta Pack,Grocery,Supplier_Beta,Warehouse_North,21,11,11.13,14.79,3.99,04/25/2026,01/03/2028
SKU-00143,Wireless Sofa,Furniture,Supplier_Beta,Warehouse_East,59,21,18.18,42.41,1.34,04/06/2026,
SKU-00144,Ultra Jeans,Apparel,Supplier_Orion,Warehouse_North,14,36,43.91,96.29,5.34,05/31/2026,
SKU-00145,Ultra Olive Oil,Grocery,Supplier_Nova,Warehouse_West,43,43,9.34,15.95,2.25,02/08/2026,06/04/2027
SKU-00146,Deluxe Speaker,Electronics,Supplier_Orion,Warehouse_South,97,49,32.57,74.38,2.03,06/18/2026,
SKU-00147,Advanced Stapler,Office Supplies,Supplier_Gamma,Warehouse_West,52,14,16.39,22.62,4.7,02/03/2026,
SKU-00148,Deluxe Sticky Notes,Office Supplies,Supplier_Sigma,Warehouse_East,53,34,32.09,65.67,0.71,02/20/2026,
SKU-00149,Portable Webcam,Electronics,Supplier_Vertex,Warehouse_Overflow,39,20,18.58,45.32,2.77,02/07/2026,
SKU-00150,Portable Coffee Beans,Grocery,Supplier_Zeta,Warehouse_Overflow,352,22,19.76,47.1,0.56,02/19/2026,06/11/2028
SKU-00151,Compact Face Cream,Health & Beauty,Supplier_Zeta,Warehouse_Central,14,37,12.66,27.71,2.88,04/23/2026,06/02/2027
SKU-00152,Basic Snack Bar,Grocery,Supplier_Omega,Warehouse_West,13,30,27.86,43.09,2.62,05/26/2026,10/31/2026
SKU-00153,Premium Rice Bag,Grocery,Supplier_Sigma,Warehouse_South,31,58,26.54,35.39,5.62,02/21/2026,05/14/2027
SKU-00154,Premium Cabinet,Furniture,Supplier_Beta,Warehouse_West,75,57,21.86,35.46,2.22,01/12/2026,
SKU-00155,Smart Floor Mat,Automotive,Supplier_Summit,Warehouse_Overflow,65,35,26.38,52.83,4.03,04/28/2026,
SKU-00156,Pro Snack Bar,Grocery,Supplier_Zeta,Warehouse_North,0,36,14.75,23.77,5.59,07/05/2026,08/01/2026
SKU-00157,Compact Doll,Toys,Supplier_Alpha,Warehouse_East,3,35,24.05,41.78,5.17,06/05/2026,
SKU-00158,Compact Storage Container,Home & Kitchen,Supplier_Atlas,Warehouse_North,51,24,18.12,31.25,1.51,05/16/2026,
SKU-00159,Portable Rice Bag,Grocery,Supplier_Pioneer,Warehouse_East,81,59,9.74,15.94,8.69,06/25/2026,11/25/2027
SKU-00160,Deluxe Cutlery Set,Home & Kitchen,Supplier_Omega,Warehouse_East,386,15,8.36,20.07,13.1,04/18/2026,
SKU-00161,Classic Jacket,Apparel,Supplier_Delta,Warehouse_East,38,13,28.15,45.49,3.19,05/24/2026,
SKU-00162,Ultra Puzzle,Toys,Supplier_Delta,Warehouse_East,7,13,11.62,28.95,0.94,06/02/2026,
SKU-00163,Eco Toy Truck,Toys,Supplier_Omega,Warehouse_Overflow,96,39,25.36,37.33,4.13,05/03/2026,
SKU-00164,Heavy-Duty Notebook,Office Supplies,Supplier_Gamma,Warehouse_East,0,22,3.54,8.26,2.98,04/09/2026,
SKU-00165,Pro Headphones,Electronics,Supplier_Epsilon,Warehouse_Central,63,18,21.99,47.32,9.54,05/11/2026,
SKU-00166,Ultra Yoga Mat,Sports & Outdoors,Supplier_Alpha,Warehouse_South,104,51,14.03,29.03,5.69,04/20/2026,
SKU-00167,Compact Jeans,Apparel,Supplier_Zeta,Warehouse_East,35,23,10.57,18.8,5.46,05/15/2026,
SKU-00168,Standard Juice Bottle,Grocery,Supplier_Gamma,Warehouse_East,2,37,19.04,43.06,4.18,01/26/2026,07/23/2026
SKU-00169,Basic Router,Electronics,Supplier_Alpha,Warehouse_South,89,49,20.18,37.13,1.11,01/14/2026,
SKU-00170,Eco Desk Organizer,Office Supplies,Supplier_Nova,Warehouse_South,6,12,21.06,28.98,1.73,03/08/2026,
SKU-00171,Basic Puzzle,Toys,Supplier_Zeta,Warehouse_East,71,50,22.49,35.19,4.41,05/31/2026,
SKU-00172,Compact Keyboard,Electronics,Supplier_Pioneer,Warehouse_East,55,38,17.66,25.38,2.43,02/20/2026,
SKU-00173,Standard Stapler,Office Supplies,Supplier_Orion,Warehouse_West,31,42,10.87,21.09,2.47,05/09/2026,
SKU-00174,Ultra Cereal Box,Grocery,Supplier_Nova,Warehouse_South,588,24,31.88,65.42,2.58,02/28/2026,08/16/2026
SKU-00175,Premium Plush Bear,Toys,Supplier_Beta,Warehouse_South,116,56,16.5,27.01,1.83,04/10/2026,
SKU-00176,Eco Rice Bag,Grocery,Supplier_Sigma,Warehouse_West,443,48,31.44,39.34,3.38,04/16/2026,05/04/2026
SKU-00177,Wireless RC Car,Toys,Supplier_Pioneer,Warehouse_North,35,24,16.03,32.96,1.94,06/06/2026,
SKU-00178,Advanced Sneakers,Apparel,Supplier_Atlas,Warehouse_South,82,16,1.67,2.14,1.31,01/13/2026,
SKU-00179,Advanced Lotion,Health & Beauty,Supplier_Summit,Warehouse_North,110,54,13.83,33.96,4.11,02/14/2026,03/27/2027
SKU-00180,Heavy-Duty Webcam,Electronics,Supplier_Vertex,Warehouse_North,0,21,13.08,30.78,4.11,06/28/2026,
SKU-00181,Premium Jacket,Apparel,Supplier_Orion,Warehouse_South,96,59,20.14,45.92,0.77,05/10/2026,
SKU-00182,Standard Charger,Electronics,Supplier_Beta,Warehouse_North,78,48,27.02,45.33,3.35,06/18/2026,
SKU-00183,Smart Face Cream,Health & Beauty,Supplier_Delta,Warehouse_South,7,16,30.22,65.53,6.81,01/18/2026,03/21/2028
SKU-00184,Premium Running Shoes,Sports & Outdoors,Supplier_Pioneer,Warehouse_West,58,56,26.81,33.77,1.66,04/14/2026,
SKU-00185,Ultra Juice Bottle,Grocery,Supplier_Gamma,Warehouse_North,42,50,19.38,25.51,4.25,06/26/2026,08/19/2026
SKU-00186,Wireless RC Car,Toys,Supplier_Omega,Warehouse_East,497,15,50.53,93.12,2.19,04/19/2026,
SKU-00187,Ultra Camping Chair,Sports & Outdoors,Supplier_Beta,Warehouse_Central,50,35,24.49,48.07,0.81,02/16/2026,
SKU-00188,Portable Desk Organizer,Office Supplies,Supplier_Gamma,Warehouse_Central,51,18,3.51,7.71,1.69,01/22/2026,
SKU-00189,Pro Pen Pack,Office Supplies,Supplier_Theta,Warehouse_South,236,33,6.57,10.43,8.26,04/02/2026,
SKU-00190,Compact Rice Bag,Grocery,Supplier_Delta,Warehouse_Overflow,58,39,25.41,48.42,3.1,02/16/2026,08/07/2026
SKU-00191,Classic Keyboard,Electronics,Supplier_Zeta,Warehouse_South,12,25,10.12,12.97,2.25,01/25/2026,
SKU-00192,Wireless Face Cream,Health & Beauty,Supplier_Gamma,Warehouse_North,64,57,10.58,19.17,1.81,03/20/2026,09/25/2026
SKU-00193,Standard Face Cream,Health & Beauty,Supplier_Alpha,Warehouse_Overflow,359,36,12.13,25.14,3.24,05/28/2026,10/15/2027
SKU-00194,Smart Building Blocks,Toys,Supplier_Vertex,Warehouse_Central,12,42,10.25,25.49,2.36,03/27/2026,
SKU-00195,Premium Hoodie,Apparel,Supplier_Zeta,Warehouse_East,104,32,15.63,34.36,3.56,04/07/2026,
SKU-00196,Basic Jacket,Apparel,Supplier_Delta,Warehouse_West,69,54,21.07,52.55,3.18,04/18/2026,
SKU-00197,Eco Cookware Set,Home & Kitchen,Supplier_Beta,Warehouse_West,425,28,8.8,16.26,5.25,03/31/2026,
SKU-00198,Deluxe Lotion,Health & Beauty,Supplier_Theta,Warehouse_North,246,45,11.24,19.81,2.96,04/01/2026,03/31/2028
SKU-00199,Ultra Soap Bar,Health & Beauty,Supplier_Summit,Warehouse_North,102,28,16.2,37.01,3.18,04/08/2026,01/26/2027
SKU-00200,Standard Storage Container,Home & Kitchen,Supplier_Nova,Warehouse_East,151,31,17.16,30.91,2.39,05/23/2026,
SKU-00201,Heavy-Duty Board Game,Toys,Supplier_Atlas,Warehouse_Central,2,51,21.89,47.79,6.01,06/20/2026,
SKU-00202,Premium Tablet,Electronics,Supplier_Orion,Warehouse_North,11,54,16.67,41.56,1.43,02/14/2026,
SKU-00203,Deluxe Pasta Pack,Grocery,Supplier_Summit,Warehouse_Central,378,42,37.0,79.25,3.41,04/14/2026,09/22/2027
SKU-00204,Compact Face Cream,Health & Beauty,Supplier_Atlas,Warehouse_North,24,54,46.3,56.42,8.05,04/21/2026,07/16/2026
SKU-00205,Heavy-Duty Whiteboard,Office Supplies,Supplier_Epsilon,Warehouse_East,11,19,29.76,42.69,1.29,04/18/2026,
SKU-00206,Advanced Keyboard,Electronics,Supplier_Zeta,Warehouse_West,52,56,19.95,31.11,4.09,03/17/2026,
SKU-00207,Advanced Keyboard,Electronics,Supplier_Zeta,Warehouse_West,63,41,10.82,24.55,14.29,03/11/2026,
